ids_file,facet,n
IDS_aachen_example.ids,entity,1
IDS_aachen_example.ids,attribute,1
IDS_Aedes_example.ids,entity,1
IDS_Aedes_example.ids,classification,1
IDS_ArcDox.ids,entity,5
IDS_ArcDox.ids,attribute,12
IDS_ArcDox.ids,property,4
IDS_demo_BIM-basis-ILS.ids,entity,4
IDS_demo_BIM-basis-ILS.ids,attribute,3
IDS_demo_BIM-basis-ILS.ids,classification,1
IDS_oma_input.ids,entity,13
IDS_oma_input.ids,property,71
IDS_oma_input.ids,attribute,17
IDS_oma_output.ids,entity,1
IDS_oma_output.ids,property,7
IDS_random_example.ids,entity,2
IDS_random_example.ids,property,3
IDS_random_example.ids,material,1
IDS_random_example.ids,classification,1
IDS_SimpleBIM_examples.ids,entity,2
IDS_SimpleBIM_examples.ids,classification,1
IDS_SimpleBIM_examples.ids,attribute,1
IDS_SimpleBIM_examples.ids,property,3
IDS_StructuralSafety.ids,entity,1
IDS_StructuralSafety.ids,material,2
IDS_StructuralSafety.ids,property,1
IDS_ucms_prefab_pipes_IFC2x3.ids,entity,2
IDS_ucms_prefab_pipes_IFC2x3.ids,property,14
IDS_ucms_prefab_pipes_IFC4.3.ids,entity,1
IDS_ucms_prefab_pipes_IFC4.3.ids,property,8
IDS_wooden-windows.ids,entity,12
IDS_wooden-windows.ids,partOf,6
IDS_wooden-windows.ids,property,19
IDS_wooden-windows.ids,classification,1
IDS_wooden-windows.ids,material,3
