model,path,schema,file_size_mb,parse_status,parse_error,IfcProject,IfcSite,IfcBuilding,IfcBuildingStorey,IfcSpace,IfcWall,IfcDoor,IfcWindow,IfcSlab,IfcBeam,IfcColumn,IfcStair,IfcRailing,IfcDistributionElement,IfcBuildingElement
IFC4-basin-tessellation,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/ISO Spec - ReferenceView_V1.2/basin-tessellation.ifc,IFC4,0.012,ok,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
IFC4-column-straight-rectangle-tessellation,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/ISO Spec - ReferenceView_V1.2/column-straight-rectangle-tessellation.ifc,IFC4,0.004,ok,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
IFC4-tessellated-item,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/ISO Spec - ReferenceView_V1.2/tessellated-item.ifc,IFC4,0.005,ok,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
IFC4-tessellation-with-individual-colors,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/ISO Spec - ReferenceView_V1.2/tessellation-with-individual-colors.ifc,IFC4,0.002,ok,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
IFC4-wall-with-opening-and-window,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/ISO Spec - ReferenceView_V1.2/wall-with-opening-and-window.ifc,IFC4,0.012,ok,,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2
IFC4-Building-Architecture,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Building-Architecture.ifc,IFC4,0.215,ok,,1,2,1,1,2,4,0,0,3,0,0,0,0,0,14
IFC4-Building-Hvac,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Building-Hvac.ifc,IFC4,0.171,ok,,1,2,1,1,0,0,0,0,0,0,0,0,0,3,3
IFC4-Building-Landscaping,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Building-Landscaping.ifc,IFC4,1.4,ok,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
IFC4-Building-Structural,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Building-Structural.ifc,IFC4,0.283,ok,,1,2,1,1,0,4,0,0,0,6,0,0,0,0,16
IFC4-Infra-Bridge,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Infra-Bridge.ifc,IFC4,1.802,ok,,1,6,3,11,0,4,0,0,3,8,7,0,2,0,48
IFC4-Infra-Landscaping,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Infra-Landscaping.ifc,IFC4,2.944,ok,,1,8,10,0,0,0,0,0,0,0,0,0,0,0,26
IFC4-Infra-Plumbing,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Infra-Plumbing.ifc,IFC4,0.5,ok,,1,6,3,0,0,0,0,0,0,0,0,0,0,24,1
IFC4-Infra-Rail,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Infra-Rail.ifc,IFC4,0.233,ok,,1,6,2,2,0,0,0,0,0,0,0,0,0,0,73
IFC4-Infra-Road,Sample-Test-Files-main/IFC 4.0.2.1 (IFC 4)/PCERT-Sample-Scene/Infra-Road.ifc,IFC4,0.419,ok,,1,6,11,20,0,0,0,0,32,0,0,0,0,0,33
IFC4X3-Building-Architecture,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Building-Architecture.ifc,IFC4X3,0.211,ok,,1,2,1,1,2,4,0,0,3,0,0,0,0,0,0
IFC4X3-Building-Hvac,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Building-Hvac.ifc,IFC4X3,0.171,ok,,1,2,1,1,0,0,0,0,0,0,0,0,0,3,0
IFC4X3-Building-Landscaping,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Building-Landscaping.ifc,IFC4X3,1.4,ok,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IFC4X3-Building-Structural,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Building-Structural.ifc,IFC4X3,0.279,ok,,1,2,1,1,0,4,0,0,0,6,0,0,0,0,0
IFC4X3-Infra-Bridge,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Infra-Bridge.ifc,IFC4X3,1.796,ok,,1,6,0,0,0,4,0,0,3,8,7,0,2,0,0
IFC4X3-Infra-Landscaping,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Infra-Landscaping.ifc,IFC4X3,2.925,ok,,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
IFC4X3-Infra-Plumbing,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Infra-Plumbing.ifc,IFC4X3,0.501,ok,,1,6,0,0,0,0,0,0,0,0,0,0,0,24,0
IFC4X3-Infra-Rail,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Infra-Rail.ifc,IFC4X3,0.233,ok,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
IFC4X3-Infra-Road,Sample-Test-Files-main/IFC 4.3.2.0 (IFC4X3_ADD2)/PCERT-Sample-Scene/Infra-Road.ifc,IFC4X3,0.398,ok,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvancedProject,AdvancedProject.ifc,IFC2X3,42.283,ok,,1,18,1,10,8,390,126,263,43,0,0,9,19,49,1306
