rule_id,ids_representable,target_count,ifctester_pass_count,ifctester_pass_rate
R01_GLOBAL_ID,True,7012,7012,1.0
R02_OBJECT_NAME,True,7135,6531,0.9153468815697267
R03_TYPE_OR_OBJECTTYPE,True,7012,3111,0.44366799771819737
R04_SPATIAL_CONTAINMENT,False,7135,0,0.0
R05_MATERIAL_AVAILABLE,True,3255,2572,0.7901689708141321
R06_DOOR_CLEAR_WIDTH,True,334,231,0.6916167664670658
R07_WINDOW_DIMENSIONS,True,525,333,0.6342857142857142
R08_SPACE_AREA,True,123,108,0.8780487804878049
R09_FIRE_RATING,True,1920,269,0.14010416666666667
R10_SITE_GEOREFERENCE,False,103,0,0.0
