scenario,evidence_family,triage_state,item_count,minutes_per_item,workload_minutes
opaque_checking_low,information_continuity,missing_evidence,604,5,3020
opaque_checking_low,information_continuity,ready,13543,0,0
opaque_checking_low,material_product_evidence,missing_evidence,683,5,3415
opaque_checking_low,material_product_evidence,ready,2572,0,0
opaque_checking_low,regulatory_attributes,evidence_present_but_insufficient,50,5,250
opaque_checking_low,regulatory_attributes,missing_evidence,1943,5,9715
opaque_checking_low,regulatory_attributes,ready,909,0,0
opaque_checking_low,semantic_definition,missing_evidence,3480,5,17400
opaque_checking_low,semantic_definition,ready,3532,0,0
opaque_checking_low,spatial_project_context,missing_evidence,972,5,4860
opaque_checking_low,spatial_project_context,ready,6266,0,0
opaque_checking_base,information_continuity,missing_evidence,604,15,9060
opaque_checking_base,information_continuity,ready,13543,0,0
opaque_checking_base,material_product_evidence,missing_evidence,683,15,10245
opaque_checking_base,material_product_evidence,ready,2572,0,0
opaque_checking_base,regulatory_attributes,evidence_present_but_insufficient,50,15,750
opaque_checking_base,regulatory_attributes,missing_evidence,1943,15,29145
opaque_checking_base,regulatory_attributes,ready,909,0,0
opaque_checking_base,semantic_definition,missing_evidence,3480,15,52200
opaque_checking_base,semantic_definition,ready,3532,0,0
opaque_checking_base,spatial_project_context,missing_evidence,972,15,14580
opaque_checking_base,spatial_project_context,ready,6266,0,0
opaque_checking_high,information_continuity,missing_evidence,604,30,18120
opaque_checking_high,information_continuity,ready,13543,0,0
opaque_checking_high,material_product_evidence,missing_evidence,683,30,20490
opaque_checking_high,material_product_evidence,ready,2572,0,0
opaque_checking_high,regulatory_attributes,evidence_present_but_insufficient,50,30,1500
opaque_checking_high,regulatory_attributes,missing_evidence,1943,30,58290
opaque_checking_high,regulatory_attributes,ready,909,0,0
opaque_checking_high,semantic_definition,missing_evidence,3480,30,104400
opaque_checking_high,semantic_definition,ready,3532,0,0
opaque_checking_high,spatial_project_context,missing_evidence,972,30,29160
opaque_checking_high,spatial_project_context,ready,6266,0,0
rulebridge_triage_low,information_continuity,missing_evidence,604,1,604
rulebridge_triage_low,information_continuity,ready,13543,0,0
rulebridge_triage_low,material_product_evidence,missing_evidence,683,1,683
rulebridge_triage_low,material_product_evidence,ready,2572,0,0
rulebridge_triage_low,regulatory_attributes,evidence_present_but_insufficient,50,3,150
rulebridge_triage_low,regulatory_attributes,missing_evidence,1943,1,1943
rulebridge_triage_low,regulatory_attributes,ready,909,0,0
rulebridge_triage_low,semantic_definition,missing_evidence,3480,1,3480
rulebridge_triage_low,semantic_definition,ready,3532,0,0
rulebridge_triage_low,spatial_project_context,missing_evidence,972,1,972
rulebridge_triage_low,spatial_project_context,ready,6266,0,0
rulebridge_triage_base,information_continuity,missing_evidence,604,5,3020
rulebridge_triage_base,information_continuity,ready,13543,0,0
rulebridge_triage_base,material_product_evidence,missing_evidence,683,5,3415
rulebridge_triage_base,material_product_evidence,ready,2572,0,0
rulebridge_triage_base,regulatory_attributes,evidence_present_but_insufficient,50,10,500
rulebridge_triage_base,regulatory_attributes,missing_evidence,1943,5,9715
rulebridge_triage_base,regulatory_attributes,ready,909,0,0
rulebridge_triage_base,semantic_definition,missing_evidence,3480,5,17400
rulebridge_triage_base,semantic_definition,ready,3532,0,0
rulebridge_triage_base,spatial_project_context,missing_evidence,972,5,4860
rulebridge_triage_base,spatial_project_context,ready,6266,0,0
rulebridge_triage_high,information_continuity,missing_evidence,604,10,6040
rulebridge_triage_high,information_continuity,ready,13543,0,0
rulebridge_triage_high,material_product_evidence,missing_evidence,683,10,6830
rulebridge_triage_high,material_product_evidence,ready,2572,0,0
rulebridge_triage_high,regulatory_attributes,evidence_present_but_insufficient,50,20,1000
rulebridge_triage_high,regulatory_attributes,missing_evidence,1943,10,19430
rulebridge_triage_high,regulatory_attributes,ready,909,0,0
rulebridge_triage_high,semantic_definition,missing_evidence,3480,10,34800
rulebridge_triage_high,semantic_definition,ready,3532,0,0
rulebridge_triage_high,spatial_project_context,missing_evidence,972,10,9720
rulebridge_triage_high,spatial_project_context,ready,6266,0,0
