rule_id,completeness_tier,models_with_targets,object_rule_targets,pass_count,fail_count,object_level_pass_rate,model_level_median_pass_rate,model_level_iqr
R01_GLOBAL_ID,complete-ish,2,5903,5903,0,1.0,1.0,1.000-1.000
R01_GLOBAL_ID,sample-fragment,18,741,741,0,1.0,1.0,1.000-1.000
R01_GLOBAL_ID,test-fragment,275,368,368,0,1.0,1.0,1.000-1.000
R02_OBJECT_NAME,complete-ish,2,6011,5720,291,0.9515887539510897,0.9618510749868904,0.943-0.981
R02_OBJECT_NAME,sample-fragment,18,745,745,0,1.0,1.0,1.000-1.000
R02_OBJECT_NAME,test-fragment,275,379,66,313,0.1741424802110818,0.0,0.000-0.000
R03_TYPE_OR_OBJECTTYPE,complete-ish,2,5903,2764,3139,0.4682364899203795,0.5774098007539041,0.366-0.789
R03_TYPE_OR_OBJECTTYPE,sample-fragment,18,741,723,18,0.9757085020242915,1.0,0.944-1.000
R03_TYPE_OR_OBJECTTYPE,test-fragment,275,368,45,323,0.12228260869565218,0.0,0.000-0.000
R04_SPATIAL_CONTAINMENT,complete-ish,2,6011,5491,520,0.9134919314589919,0.8906301055522392,0.848-0.933
R04_SPATIAL_CONTAINMENT,sample-fragment,18,745,725,20,0.9731543624161074,1.0,1.000-1.000
R04_SPATIAL_CONTAINMENT,test-fragment,275,379,46,333,0.12137203166226913,0.0,0.000-0.000
R05_MATERIAL_AVAILABLE,complete-ish,2,2823,2426,397,0.8593694651080411,0.8906866223428044,0.851-0.930
R05_MATERIAL_AVAILABLE,sample-fragment,7,114,114,0,1.0,1.0,1.000-1.000
R05_MATERIAL_AVAILABLE,test-fragment,249,318,32,286,0.10062893081761007,0.0,0.000-0.000
R06_DOOR_CLEAR_WIDTH,complete-ish,2,331,180,151,0.5438066465256798,0.5735965931087882,0.511-0.636
R06_DOOR_CLEAR_WIDTH,test-fragment,3,3,1,2,0.3333333333333333,0.0,0.000-0.500
R07_WINDOW_DIMENSIONS,complete-ish,2,522,330,192,0.632183908045977,0.6293436293436293,0.444-0.815
R07_WINDOW_DIMENSIONS,test-fragment,2,3,3,0,1.0,1.0,1.000-1.000
R08_SPACE_AREA,complete-ish,2,108,108,0,1.0,1.0,1.000-1.000
R08_SPACE_AREA,sample-fragment,2,4,2,2,0.5,0.5,0.250-0.750
R08_SPACE_AREA,test-fragment,11,11,0,11,0.0,0.0,0.000-0.000
R09_FIRE_RATING,complete-ish,2,1655,280,1375,0.1691842900302115,0.25541750889873477,0.141-0.370
R09_FIRE_RATING,sample-fragment,6,24,0,24,0.0,0.0,0.000-0.000
R09_FIRE_RATING,test-fragment,234,241,5,236,0.02074688796680498,0.0,0.000-0.000
R10_SITE_GEOREFERENCE,complete-ish,2,19,2,17,0.10526315789473684,0.5277777777777778,0.292-0.764
R10_SITE_GEOREFERENCE,sample-fragment,18,80,0,80,0.0,0.0,0.000-0.000
R10_SITE_GEOREFERENCE,test-fragment,4,4,2,2,0.5,0.5,0.000-1.000
