model,R01_GLOBAL_ID,R02_OBJECT_NAME,R03_TYPE_OR_OBJECTTYPE,R04_SPATIAL_CONTAINMENT,R05_MATERIAL_AVAILABLE,R06_DOOR_CLEAR_WIDTH,R07_WINDOW_DIMENSIONS,R08_SPACE_AREA,R09_FIRE_RATING,R10_SITE_GEOREFERENCE
AdvancedProject,1.0,1.0,1.0,0.8056440600819299,0.9694117647058823,0.6984126984126984,1.0,1.0,0.4844961240310077,0.05555555555555555
IFC4-Building-Architecture,1.0,1.0,0.8666666666666667,1.0,1.0,,,1.0,0.0,0.0
IFC4-Building-Hvac,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4-Building-Landscaping,1.0,1.0,0.8571428571428571,1.0,,,,,,0.0
IFC4-Building-Structural,1.0,1.0,0.9444444444444444,1.0,1.0,,,,0.0,0.0
IFC4-Infra-Bridge,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0
IFC4-Infra-Landscaping,1.0,1.0,0.9553571428571429,1.0,,,,,,0.0
IFC4-Infra-Plumbing,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4-Infra-Rail,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4-Infra-Road,1.0,1.0,1.0,1.0,1.0,,,,,0.0
IFC4-basin-tessellation,1.0,0.0,1.0,1.0,,,,,,
IFC4-column-straight-rectangle-tessellation,1.0,1.0,1.0,1.0,0.0,,,,,0.0
IFC4-tessellated-item,1.0,1.0,0.0,1.0,,,,,,
IFC4-tessellation-with-individual-colors,1.0,1.0,0.0,1.0,,,,,,
IFC4-wall-with-opening-and-window,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,1.0
IFC4X3-Building-Architecture,1.0,1.0,0.8666666666666667,1.0,1.0,,,0.0,0.0,0.0
IFC4X3-Building-Hvac,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4X3-Building-Landscaping,1.0,1.0,0.8571428571428571,1.0,,,,,,0.0
IFC4X3-Building-Structural,1.0,1.0,0.9444444444444444,1.0,1.0,,,,0.0,0.0
IFC4X3-Infra-Bridge,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0
IFC4X3-Infra-Landscaping,1.0,1.0,0.9553571428571429,1.0,,,,,,0.0
IFC4X3-Infra-Plumbing,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4X3-Infra-Rail,1.0,1.0,1.0,1.0,,,,,,0.0
IFC4X3-Infra-Road,1.0,1.0,1.0,0.6363636363636364,,,,,,0.0
