rule_id,evidence_family,route_tier,route_type,triage_state,object_count
R01_GLOBAL_ID,information_continuity,E2,direct_attribute,ready,7012
R02_OBJECT_NAME,information_continuity,E0,missing_direct_attribute,missing_evidence,604
R02_OBJECT_NAME,information_continuity,E2,direct_attribute,ready,6531
R03_TYPE_OR_OBJECTTYPE,semantic_definition,E0,missing_type_route,missing_evidence,3480
R03_TYPE_OR_OBJECTTYPE,semantic_definition,E2,direct_object_type,ready,3111
R03_TYPE_OR_OBJECTTYPE,semantic_definition,E2,predefined_type,ready,386
R03_TYPE_OR_OBJECTTYPE,semantic_definition,E3,type_relationship,ready,35
R04_SPATIAL_CONTAINMENT,spatial_project_context,E0,missing_spatial_relationship,missing_evidence,873
R04_SPATIAL_CONTAINMENT,spatial_project_context,E4,spatial_relationship,ready,6262
R05_MATERIAL_AVAILABLE,material_product_evidence,E0,missing_material_relationship,missing_evidence,683
R05_MATERIAL_AVAILABLE,material_product_evidence,E4,material_relationship,ready,2572
R06_DOOR_CLEAR_WIDTH,regulatory_attributes,E0,missing_width_attribute,missing_evidence,103
R06_DOOR_CLEAR_WIDTH,regulatory_attributes,E1,raw_width_present_below_threshold,evidence_present_but_insufficient,50
R06_DOOR_CLEAR_WIDTH,regulatory_attributes,E2,direct_numeric_attribute_threshold,ready,181
R07_WINDOW_DIMENSIONS,regulatory_attributes,E0,missing_direct_attribute,missing_evidence,192
R07_WINDOW_DIMENSIONS,regulatory_attributes,E2,direct_attribute,ready,333
R08_SPACE_AREA,regulatory_attributes,E0,missing_area_quantity_or_property,missing_evidence,13
R08_SPACE_AREA,regulatory_attributes,E4,quantity_or_property_route,ready,110
R09_FIRE_RATING,regulatory_attributes,E0,missing_fire_rating_route,missing_evidence,1635
R09_FIRE_RATING,regulatory_attributes,E3,fire_rating_property,ready,285
R10_SITE_GEOREFERENCE,spatial_project_context,E0,missing_direct_attribute,missing_evidence,99
R10_SITE_GEOREFERENCE,spatial_project_context,E2,direct_attribute,ready,4
