completeness_tier,rule_id,original_state,test_count,success_count,success_rate
complete-ish,R01_GLOBAL_ID,pass,5903,5903,1.0
complete-ish,R02_OBJECT_NAME,fail,291,291,1.0
complete-ish,R02_OBJECT_NAME,pass,5720,5720,1.0
complete-ish,R03_TYPE_OR_OBJECTTYPE,fail,3139,3139,1.0
complete-ish,R03_TYPE_OR_OBJECTTYPE,pass,2764,2764,1.0
complete-ish,R04_SPATIAL_CONTAINMENT,fail,520,520,1.0
complete-ish,R04_SPATIAL_CONTAINMENT,pass,5491,5491,1.0
complete-ish,R05_MATERIAL_AVAILABLE,fail,397,397,1.0
complete-ish,R05_MATERIAL_AVAILABLE,pass,2426,2426,1.0
complete-ish,R06_DOOR_CLEAR_WIDTH,fail,151,151,1.0
complete-ish,R06_DOOR_CLEAR_WIDTH,pass,180,180,1.0
complete-ish,R07_WINDOW_DIMENSIONS,fail,192,192,1.0
complete-ish,R07_WINDOW_DIMENSIONS,pass,330,330,1.0
complete-ish,R08_SPACE_AREA,pass,108,108,1.0
complete-ish,R09_FIRE_RATING,fail,1375,1375,1.0
complete-ish,R09_FIRE_RATING,pass,280,280,1.0
complete-ish,R10_SITE_GEOREFERENCE,fail,17,17,1.0
complete-ish,R10_SITE_GEOREFERENCE,pass,2,2,1.0
sample-fragment,R01_GLOBAL_ID,pass,741,741,1.0
sample-fragment,R02_OBJECT_NAME,pass,745,745,1.0
sample-fragment,R03_TYPE_OR_OBJECTTYPE,fail,18,18,1.0
sample-fragment,R03_TYPE_OR_OBJECTTYPE,pass,723,723,1.0
sample-fragment,R04_SPATIAL_CONTAINMENT,fail,20,20,1.0
sample-fragment,R04_SPATIAL_CONTAINMENT,pass,725,725,1.0
sample-fragment,R05_MATERIAL_AVAILABLE,pass,114,114,1.0
sample-fragment,R08_SPACE_AREA,fail,2,2,1.0
sample-fragment,R08_SPACE_AREA,pass,2,2,1.0
sample-fragment,R09_FIRE_RATING,fail,24,24,1.0
sample-fragment,R10_SITE_GEOREFERENCE,fail,80,80,1.0
test-fragment,R01_GLOBAL_ID,pass,368,368,1.0
test-fragment,R02_OBJECT_NAME,fail,313,313,1.0
test-fragment,R02_OBJECT_NAME,pass,66,66,1.0
test-fragment,R03_TYPE_OR_OBJECTTYPE,fail,323,323,1.0
test-fragment,R03_TYPE_OR_OBJECTTYPE,pass,45,45,1.0
test-fragment,R04_SPATIAL_CONTAINMENT,fail,333,333,1.0
test-fragment,R04_SPATIAL_CONTAINMENT,pass,46,46,1.0
test-fragment,R05_MATERIAL_AVAILABLE,fail,286,286,1.0
test-fragment,R05_MATERIAL_AVAILABLE,pass,32,32,1.0
test-fragment,R06_DOOR_CLEAR_WIDTH,fail,2,2,1.0
test-fragment,R06_DOOR_CLEAR_WIDTH,pass,1,1,1.0
test-fragment,R07_WINDOW_DIMENSIONS,pass,3,3,1.0
test-fragment,R08_SPACE_AREA,fail,11,11,1.0
test-fragment,R09_FIRE_RATING,fail,236,236,1.0
test-fragment,R09_FIRE_RATING,pass,5,5,1.0
test-fragment,R10_SITE_GEOREFERENCE,fail,2,2,1.0
test-fragment,R10_SITE_GEOREFERENCE,pass,2,2,1.0
